Zadowolenie,Liczba_osob,Ekstrawersja,Alkohol,Rodzaj_imprezy
4.50063413,17,1.795830753,4,0
7.416805593,66,4.108305553,7,1
6.503947232,21,4.960911046,4,0
5.06834148,14,2.273766332,7,1
3.572951709,24,1,10,0
6.417031595,20,4.854251339,7,1
5.345559735,23,4.889657882,5,0
4.707081938,12,8.927632199,3,1
5.814061943,14,5.056098929,6,0
4.72717497,22,4.454396859,5,0
4.187569243,15,4.066077314,5,0
5.650367932,22,6.908489941,4,1
7.645596359,19,6.824779497,3,1
3.744336119,18,5.527125609,6,0
6.01955812,21,8.092121135,7,1
5.0761725,8,7.728968614,7,0
4.652177213,10,2.305363196,2,0
4.183361138,13,5.566886651,4,0
6.116957596,19,6.157254539,7,1
6.407231672,54,4.310751738,1,1
6.283256236,18,4.156106853,6,0
5.820729132,7,5.41797977,7,1
5.792788319,10,5.466519308,3,0
5.656754882,11,4.82282225,5,1
6.356252372,34,5.525653242,1,0
6.019985058,11,8.263134858,3,0
2.400495329,35,1.91647933,5,0
5.566115306,9,5.411734024,4,1
4.101376174,17,3.053847321,0,0
6.087633072,29,4.65811853,2,1
3.311739435,11,1,0,1
3.319629762,18,5.973757586,5,1
6.926030304,12,8.165318015,8,1
6.150730465,6,4.017486097,6,0
5.831360736,20,5.150570837,6,0
4.911409945,15,4.690306465,4,1
6.476789833,22,7.532014958,5,0
6.886969148,10,1.965198679,0,1
6.044961656,20,5.36323269,1,1
4.967060654,9,1.10632293,4,1
4.704582929,21,1.291088304,3,1
5.195698286,8,2.108908586,1,1
6.806395244,18,7.914429731,6,1
4.351555036,13,5.787770361,4,0
5.317756577,14,5.623226386,10,0
5.962435717,26,4.771577399,3,0
8.655160377,21,7.031300812,5,1
5.127614581,13,1,7,0
6.6473791,45,3.241751698,3,1
4.550523224,13,8.446458318,2,0
6.684710833,19,4.104517963,5,1
6.937630886,11,9.108949183,4,0
4.859434031,8,5.712412515,1,1
5.272184817,36,6.354675293,3,1
6.608971526,35,4.494661687,6,0
5.749545876,14,5.692941549,4,1
5.3933799,16,6.087521857,0,0
5.562671294,32,4.156159548,6,1
5.556799995,17,4.323580429,10,0
5.832661276,11,6.023017036,6,0
5.577847149,14,3.453987152,9,0
6.105235477,11,4.834007771,8,1
4.52207172,11,7.599358109,4,0
5.842246323,12,4.434039149,6,1
6.983894227,15,7.239756586,7,0
6.566514792,19,8.471095666,0,0
4.792397052,9,3.494695345,1,1
7.166030214,24,7.574779091,4,1
5.605373239,29,4.067435074,6,0
5.53980739,21,6.093753592,4,1
3.379716553,33,2.60763654,4,1
6.240389738,12,7.753877246,5,1
6.020073974,7,4.91403943,7,0
6.730472965,11,7.925455223,5,0
6.062609195,22,4.952300945,5,1
6.894844155,16,3.539093688,6,0
5.53318724,12,7.129871385,6,1
6.784390111,5,3.938540611,4,0
6.503906804,16,8.459997466,3,1
2.847934708,17,1.593369106,5,1
5.13549552,19,5.877473319,10,0
6.783933198,18,6.628930228,1,1
6.490128314,9,3.455035521,2,1
6.73189965,14,8.11588122,4,0
7.649250321,10,4.682271348,6,1
5.37554236,18,6.631163793,10,1
6.550009609,18,5.154853418,2,1
5.774088844,14,3.188456122,4,0
3.555059681,39,1.310163975,8,1
4.035457222,7,1.918802845,3,0
4.965489052,14,7.472654386,4,1
4.326227597,6,3.780580718,8,1
6.107078853,13,5.258937126,2,0
4.314857054,14,7.111396865,4,1
6.41336856,9,5.743366778,6,0
3.945344037,9,8.443630029,7,1
6.180393283,22,8.477795589,3,1
6.586727938,4,4.231071547,6,1
4.255019792,20,5.02802505,4,1
5.333028351,17,6.523290945,3,1
2.972679989,32,1,4,1
4.683850937,11,3.796424604,5,0
6.11955886,27,4.734428488,6,1
5.714844361,14,3.437852068,8,0
5.67897771,18,6.48873801,4,0
3.803956213,17,2.372826386,7,0
5.076169803,7,8.00920392,3,1
8.983287802,19,3.045596334,10,1
6.355646964,7,2.945568227,3,1
5.393822462,9,6.934214153,7,0
7.029438473,16,4.32154723,5,0
5.470285415,11,5.697467886,5,0
4.653173032,34,5.402254362,5,0
5.970323992,29,3.659340769,3,0
4.599957761,15,4.524662172,0,0
5.77892813,9,7.580918372,6,0
5.12184616,18,8.131055816,7,1
5.369961935,5,8.242441961,0,0
6.430472624,13,6.364033782,4,1
4.946042209,13,6.767801745,5,1
6.414956004,4,4.375148508,6,0
4.127729497,11,2.311348264,1,0
5.319788001,24,4.655628522,7,1
3.256837521,10,2.613238223,10,1
5.644502313,26,5.302895943,0,0
6.253906167,18,6.768402442,4,1
5.23446788,15,4.307406737,7,0
5.999073722,13,4.745656659,3,1
6.360597155,15,7.745711089,6,0
6.78989407,12,4.251185305,4,1
6.272896202,16,7.98902231,6,1
5.254794951,33,4.053374177,4,0
5.984045763,14,3.603184777,0,0
5.174237643,28,7.059371279,2,0
5.925793598,24,6.446203099,8,1
7.282074717,30,8.081221317,6,1
6.4033995,18,3.822909662,5,1
5.386266739,8,5.058792264,7,0
1.395357149,9,7.202230805,0,1
4.679433632,10,3.915850225,2,0
4.469312958,5,6.609876265,3,0
5.197303231,10,4.71644871,6,1
6.332803556,6,3.700336344,4,1
5.059424054,14,3.901883188,5,0
5.862098993,13,6.41900738,4,1
5.09354134,18,3.288368506,0,1
5.800345281,23,4.959240265,5,0
6.098526204,24,6.082397435,6,1
4.324064548,12,6.915810326,3,1
6.323083933,18,6.158936549,4,1
3.062561309,14,1.385788707,4,0
5.902075564,10,4.261095972,5,1
6.810889629,20,1.33290607,4,0
4.912682532,7,1.656552489,4,1
2.762615336,24,2.926629668,2,1
5.437727869,11,2.000998708,6,1
5.036920587,10,5.024675024,3,0
5.207831889,16,5.004085624,0,1
5.01290738,5,7.909139706,4,0
4.515656636,7,3.639846799,4,0
6.709086009,34,5.009366447,5,1
5.825987816,17,8.540471316,10,1
4.743452571,9,4.077779545,4,0
5.606419001,16,4.109526832,5,0
6.864129631,28,5.951569851,0,1
5.570403285,7,7.645507245,10,1
5.813463654,17,5.966028902,4,1
